lambda            n
2.10748156   1.47990444
2.10792580   1.47987702
2.10837023   1.47984951
2.10881485   1.47982191
2.10925965   1.47979424
2.10970464   1.47976650
2.11014982   1.47973869
2.11059519   1.47971084
2.11104074   1.47968295
2.11148649   1.47965642
2.11193242   1.47962847
2.11237854   1.47960050
2.11282485   1.47957250
2.11327134   1.47954449
2.11371803   1.47951647
2.11416490   1.47948844
2.11461197   1.47946041
2.11505922   1.47943239
2.11550666   1.47940436
2.11595430   1.47937635
2.11640212   1.47934834
2.11685013   1.47932035
2.11729833   1.47929237
2.11774672   1.47926440
2.11819530   1.47923645
2.11864407   1.47920852
2.11909303   1.47918059
2.11954218   1.47915269
2.11999152   1.47912479
2.12044105   1.47909689
2.12089077   1.47906900
2.12134069   1.47904111
2.12179079   1.47901321
2.12224109   1.47898529
2.12269157   1.47895734
2.12314225   1.47893018
2.12359312   1.47890244
2.12404418   1.47887439
2.12449543   1.47884630
2.12494688   1.47881818
2.12539851   1.47879003
2.12585034   1.47876185
2.12630236   1.47873364
2.12675457   1.47870542
2.12720698   1.47867719
2.12765957   1.47864894
2.12800000   1.47862769
2.12811236   1.47862068
2.12856535   1.47859242
2.12901852   1.47856415
2.12947189   1.47853589
2.12992545   1.47850764
2.13037921   1.47847940
2.13083316   1.47845117
2.13128730   1.47842295
2.13174163   1.47839476
2.13219616   1.47836659
2.13265089   1.47833846
2.13310580   1.47831035
2.13356091   1.47828227
2.13401622   1.47825423
2.13447172   1.47822623
2.13492741   1.47819827
2.13538330   1.47817035
2.13583938   1.47814248
2.13629566   1.47811465
2.13675214   1.47808686
2.13720881   1.47805912
2.13766567   1.47803142
2.13812273   1.47800377
2.13857998   1.47797615
2.13903743   1.47794858
2.13949508   1.47792103
2.13995292   1.47789351
2.14041096   1.47786602
2.14086919   1.47783853
2.14132762   1.47781105
2.14178625   1.47778356
2.14224507   1.47775609
2.14270409   1.47772882
2.14316331   1.47770125
2.14362272   1.47767364
2.14408233   1.47764601
2.14454214   1.47761834
2.14500215   1.47759065
2.14546235   1.47756293
2.14592275   1.47753519
2.14638334   1.47750742
2.14684414   1.47747964
2.14730513   1.47745184
2.14776632   1.47742403
2.14822771   1.47739621
2.14868930   1.47736838
2.14915109   1.47734054
2.14961307   1.47731270
2.15007525   1.47728486
2.15053763   1.47725703
2.15100022   1.47722920
2.15146299   1.47720137
2.15192597   1.47717357
2.15238915   1.47714578
2.15285253   1.47711800
2.15331611   1.47709025
2.15377988   1.47706253
2.15424386   1.47703483
2.15470804   1.47700716
2.15517241   1.47697953
2.15563699   1.47695192
2.15610177   1.47692436
2.15656675   1.47689682
2.15703192   1.47686933
2.15749730   1.47684186
2.15796288   1.47681443
2.15842866   1.47678702
2.15889465   1.47675964
2.15936083   1.47673226
2.15982721   1.47670490
2.16029380   1.47667753
2.16076059   1.47665013
2.16122758   1.47662270
2.16169477   1.47659521
2.16216216   1.47656737
2.16262976   1.47653902
2.16309756   1.47651066
2.16356556   1.47648250
2.16403376   1.47645429
2.16450216   1.47642604
2.16497077   1.47639774
2.16543958   1.47636940
2.16590860   1.47634102
2.16637782   1.47631261
2.16684724   1.47628416
2.16731686   1.47625569
2.16778669   1.47622720
2.16825672   1.47619868
2.16872696   1.47617014
2.16919740   1.47614158
2.16966804   1.47611301
2.17013889   1.47608441
2.17060994   1.47605581
2.17108120   1.47602718
2.17155266   1.47599855
2.17202433   1.47596990
2.17249620   1.47594124
2.17296827   1.47591256
2.17344056   1.47588388
2.17391304   1.47585518
2.17400000   1.47584986
2.17438574   1.47582647
2.17485863   1.47579775
2.17533174   1.47576902
2.17580505   1.47574028
2.17627856   1.47571153
2.17675229   1.47568276
2.17722621   1.47565399
2.17770035   1.47562521
2.17817469   1.47559641
2.17864924   1.47556761
2.17912399   1.47553879
2.17959895   1.47550996
2.18007412   1.47548112
2.18054950   1.47545226
2.18102508   1.47542339
2.18150087   1.47539451
2.18197687   1.47536561
2.18245308   1.47533670
2.18292949   1.47530777
2.18340611   1.47527883
2.18388294   1.47524987
2.18435998   1.47522089
2.18483723   1.47519189
2.18531469   1.47516287
2.18579235   1.47513383
2.18627022   1.47510478
2.18674831   1.47507570
2.18722660   1.47504660
2.18770510   1.47501748
2.18818381   1.47498833
2.18866273   1.47495916
2.18914186   1.47492996
2.18962120   1.47490074
2.19010074   1.47487150
2.19058050   1.47484222
2.19106047   1.47481292
2.19154065   1.47478359
2.19202104   1.47475423
2.19250164   1.47472484
2.19298246   1.47469542
2.19346348   1.47466597
2.19394471   1.47463648
2.19442616   1.47460696
2.19490781   1.47457741
2.19538968   1.47454783
2.19587176   1.47451821
2.19635405   1.47448855
2.19683656   1.47445886
2.19731927   1.47442913
2.19780220   1.47439936
2.19828534   1.47436955
2.19876869   1.47433970
2.19925225   1.47430982
2.19973603   1.47427989
2.20000000   1.47426358
2.20000000   1.47426358
2.20022002   1.47424992
2.20070423   1.47421990
2.20118864   1.47418984
2.20167327   1.47415974
2.20215811   1.47412959
2.20264317   1.47409940
2.20312844   1.47406916
2.20361393   1.47403887
2.20409963   1.47400854
2.20458554   1.47397815
2.20507166   1.47394771
2.20555801   1.47391723
2.20604456   1.47388669
2.20653133   1.47385609
2.20701832   1.47382544
2.20750552   1.47379474
2.20799293   1.47376397
2.20848057   1.47373315
2.20896841   1.47370227
2.20945647   1.47367133
2.20994475   1.47364032
2.21043324   1.47360925
2.21092195   1.47357812
2.21141088   1.47354691
2.21190002   1.47351564
2.21238938   1.47348431
2.21287896   1.47345293
2.21336875   1.47342150
2.21385876   1.47339002
2.21434898   1.47335849
2.21483942   1.47332693
2.21533008   1.47329532
2.21582096   1.47326368
2.21631206   1.47323200
2.21680337   1.47320029
2.21729490   1.47316855
2.21778665   1.47313679
2.21827862   1.47310500
2.21877080   1.47307318
2.21926320   1.47304134
2.21975583   1.47300947
2.22024867   1.47297758
2.22074173   1.47294567
2.22123501   1.47291374
2.22172850   1.47288179
2.22200000   1.47286434
2.22222222   1.47284982
2.22271616   1.47281783
2.22321032   1.47278582
2.22370469   1.47275378
2.22419929   1.47272173
2.22469410   1.47268966
2.22518914   1.47265757
2.22568440   1.47262546
2.22617988   1.47259333
2.22667557   1.47256118
2.22717149   1.47252901
2.22766763   1.47249636
2.22816399   1.47246394
2.22866057   1.47243168
2.22915738   1.47239941
2.22965440   1.47236712
2.23015165   1.47233481
2.23064912   1.47230249
2.23114681   1.47227016
2.23164472   1.47223780
2.23214286   1.47220543
2.23264121   1.47217304
2.23313979   1.47214063
2.23363860   1.47210821
2.23413762   1.47207576
2.23463687   1.47204330
2.23513634   1.47201081
2.23563604   1.47197831
2.23613596   1.47194578
2.23663610   1.47191323
2.23713647   1.47188066
2.23763706   1.47184806
2.23813787   1.47181544
2.23863891   1.47178280
2.23914017   1.47175013
2.23964166   1.47171742
2.24014337   1.47168470
2.24064531   1.47165194
2.24114747   1.47161915
2.24164985   1.47158633
2.24215247   1.47155347
2.24265530   1.47152058
2.24315837   1.47148766
2.24366166   1.47145470
2.24416517   1.47142170
2.24466891   1.47138866
2.24517288   1.47135559
2.24567707   1.47132247
2.24618149   1.47128931
2.24668614   1.47125610
2.24719101   1.47122285
2.24769611   1.47118956
2.24820144   1.47115621
2.24870699   1.47112282
2.24921278   1.47108938
2.24971879   1.47105588
2.25022502   1.47102233
2.25073149   1.47098873
2.25123818   1.47095507
2.25174510   1.47092135
2.25225225   1.47088757
2.25275963   1.47085373
2.25326724   1.47081984
