lambda            n
2.32774674   1.52262593
2.32828871   1.52261554
2.32883093   1.52260515
2.32937340   1.52259475
2.32991612   1.52258434
2.33045910   1.52257392
2.33100233   1.52256349
2.33154581   1.52255305
2.33208955   1.52254261
2.33263354   1.52253216
2.33317779   1.52252170
2.33372229   1.52251123
2.33426704   1.52250075
2.33481205   1.52249026
2.33535731   1.52247977
2.33590283   1.52246927
2.33644860   1.52245875
2.33699462   1.52244823
2.33754091   1.52243771
2.33808744   1.52242717
2.33863424   1.52241662
2.33918129   1.52240607
2.33972859   1.52239551
2.34027615   1.52238494
2.34082397   1.52237436
2.34137204   1.52236377
2.34192037   1.52235317
2.34246896   1.52234257
2.34301781   1.52233195
2.34356691   1.52232133
2.34411627   1.52231070
2.34466589   1.52230006
2.34521576   1.52228941
2.34576589   1.52227875
2.34631628   1.52226809
2.34686693   1.52225742
2.34741784   1.52224673
2.34796901   1.52223604
2.34852043   1.52222534
2.34907212   1.52221463
2.34962406   1.52220391
2.35017626   1.52219319
2.35072873   1.52218245
2.35128145   1.52217171
2.35183443   1.52216096
2.35238767   1.52215020
2.35294118   1.52213943
2.35349494   1.52212865
2.35404896   1.52211786
2.35460325   1.52210706
2.35515780   1.52209626
2.35571260   1.52208545
2.35626767   1.52207462
2.35682300   1.52206379
2.35737860   1.52205295
2.35793445   1.52204210
2.35849057   1.52203124
2.35904695   1.52202038
2.35960359   1.52200950
2.36016049   1.52199862
2.36071766   1.52198772
2.36127509   1.52197682
2.36183278   1.52196591
2.36239074   1.52195499
2.36294896   1.52194406
2.36350745   1.52193312
2.36406619   1.52192218
2.36462521   1.52191122
2.36518448   1.52190026
2.36574403   1.52188928
2.36630383   1.52187830
2.36686391   1.52186731
2.36742424   1.52185631
2.36798484   1.52184530
2.36854571   1.52183428
2.36910685   1.52182325
2.36966825   1.52181221
2.37022991   1.52180117
2.37079184   1.52179011
2.37135404   1.52177905
2.37191651   1.52176797
2.37247924   1.52175689
2.37304224   1.52174580
2.37360551   1.52173470
2.37416904   1.52172359
2.37473284   1.52171247
2.37529691   1.52170134
2.37586125   1.52169021
2.37642586   1.52167906
2.37699073   1.52166790
2.37755587   1.52165674
2.37812128   1.52164556
2.37868696   1.52163438
2.37925291   1.52162319
2.37981913   1.52161199
2.38038562   1.52160078
2.38095238   1.52158956
2.38151941   1.52157833
2.38208671   1.52156709
2.38265428   1.52155584
2.38322212   1.52201142
2.38379023   1.52859761
2.38421576   1.53256476
2.38435861   1.53116969
2.38492726   1.52515474
2.38549618   1.52149946
2.38606538   1.52148816
2.38663484   1.52147684
2.38720458   1.52146552
2.38777459   1.52145419
2.38834488   1.52144285
2.38891543   1.52143149
2.38948626   1.52142013
2.39005736   1.52140876
2.39062874   1.52139738
2.39120038   1.52138600
2.39177230   1.52137460
2.39234450   1.52136319
2.39291697   1.52135177
2.39348971   1.52134035
2.39406272   1.52132891
2.39463602   1.52131746
2.39520958   1.52130601
2.39578342   1.52129454
2.39635754   1.52128307
2.39693193   1.52127159
2.39750659   1.52126009
