lambda            k
19.27679158   0.37083139
19.35313531   0.38702524
19.46879150   0.41266362
19.54666667   0.45188772
19.58583834   0.47725271
19.66465459   0.53662441
19.70430108   0.56936071
19.70430108   0.56936071
19.78407557   0.65234337
19.82420554   0.68632609
19.82420554   0.68632609
19.94557823   1.06727821
19.98636673   1.41567261
20.00000000   1.51584043
20.00000000   1.51584043
20.00000000   1.51584043
20.00000000   1.51584043
20.02732240   1.56772837
20.10973937   0.90198546
20.10973937   0.90198546
20.15120275   0.96207949
20.19283747   1.01242019
20.23464458   1.06796732
20.23464458   1.06796732
20.27662517   1.13099839
20.31878032   1.20110411
20.31878032   1.20110411
20.40361865   1.32676324
20.40361865   1.32676324
20.40361865   1.32676324
20.40800000   1.33197975
20.48916841   1.40596569
20.53221289   1.45242126
20.53221289   1.45242126
20.57543860   1.52337074
20.61884669   1.69100524
20.61884669   1.69100524
20.61884669   1.69100524
20.66100000   1.88569922
20.70621469   1.87597166
20.75017693   1.72785189
20.79002079   1.75515476
20.79432624   1.75946112
20.83866382   1.83814189
20.88319088   1.91006225
20.88319088   1.91006225
20.92790864   1.97740615
20.97281831   2.01129741
21.01792115   2.09979088
21.01792115   2.09979088
21.05300000   2.16944857
21.06321839   2.17956325
21.06321839   2.17956325
21.15440115   2.15681463
21.20028923   2.30355707
21.24637681   2.04347158
21.27700000   1.93506867
21.29266521   1.91903901
21.30000000   1.91175484
21.30000000   1.91175484
21.33915575   1.87194573
21.43274854   2.29877399
21.50537634   2.26873707
21.52716593   2.26227689
21.57468727   2.24385985
21.67036216   2.14968774
21.67036216   2.14968774
21.73900000   2.06439168
21.76688938   2.09950305
21.76688938   2.09950305
21.76688938   2.09950305
21.76688938   2.09950305
21.81547619   2.04711913
21.86428039   1.94716951
21.86428039   1.94716951
21.91330344   1.93843510
21.96254682   1.98956074
21.97802198   1.94391289
22.01201201   1.87129719
22.01201201   1.87129719
22.06170053   1.74960913
22.06170053   1.74960913
22.06170053   1.74960913
22.11161388   1.65509712
22.11161388   1.65509712
22.16175359   1.62320805
22.22200000   1.63519154
22.22222222   1.63497384
22.26271830   1.60327874
22.36460717   1.45034002
22.36460717   1.45034002
22.36460717   1.45034002
22.46743295   0.96052764
22.46743295   0.96052764
22.50000000   0.91474329
22.50000000   0.91474329
22.57120862   0.99699105
22.62345679   1.19071232
22.72700000   1.21452894
22.78166278   1.13765275
22.83489097   1.09163948
22.83489097   1.09163948
22.88836846   1.03972948
22.99607843   0.95840184
23.05031447   0.93371147
23.09468822   0.91708049
23.10480693   0.91358324
23.25600000   0.87518835
23.26984127   0.87070305
23.60708535   0.73192669
23.66424536   0.72088762
23.77939984   0.68288100
23.81000000   0.65870873
23.89568052   0.59615432
24.01310401   0.53681443
24.09638554   0.48826432
24.25144748   0.48276914
24.39000000   0.50487976
24.55611390   0.49132762
24.80541455   0.49778898
24.99573743   0.54782835
25.00000000   0.54733552
25.00000000   0.54733552
25.00000000   0.54733552
25.00000000   0.54733552
25.05982906   0.54741074
25.31951641   0.40844719
25.58464223   0.29157461
26.13190731   0.27320112
26.63033606   0.24165519
27.76515152   0.34732832
27.90000000   0.34063795
27.90000000   0.34063795
28.57100000   0.25639163
28.82989184   0.18735909
29.79674797   0.08007274
30.00000000   0.07776604
30.00000000   0.07776604
31.02645503   0.09256465
32.14912281   0.13103547
33.12994350   0.11533620
33.33300000   0.10823449
34.29239766   0.06948976
35.00000000   0.05339361
35.00000000   0.05339361
35.41062802   0.05269481
37.30279898   0.10496588
38.78306878   0.07105175
40.00000000   0.04323357
40.00000000   0.04323357
40.00000000   0.04323357
40.55325035   0.04073746
43.43703704   0.07391362
46.31911532   0.08752017
49.36026936   0.03741170
50.00000000   0.03772889
50.00000000   0.03772889
50.00000000   0.03772889
52.54480287   0.04695804
54.90636704   0.07344720
57.49019608   0.04170690
60.00000000   0.02278776
60.00000000   0.02278776
61.85654008   0.02276343
64.72406181   0.02603952
70.31175060   0.05567311
75.76227390   0.03296311
80.00000000   0.02820614
80.00000000   0.02820614
82.82485876   0.02748197
89.66360856   0.04553270
98.72053872   0.02410037
100.00000000   0.02384152
100.00000000   0.02384152
107.39926740   0.02253366
117.75100402   0.03389569
130.31111111   0.03335325
143.72549020   0.01331656
150.00000000   0.01198234
150.00000000   0.01198234
165.64971751   0.01117968
191.63398693   0.00947787
200.00000000   0.00619674
200.00000000   0.00619674
300.00000000   0.00033941
