lambda            k
2.14316331   0.00025067
2.14362272   0.00025085
2.14408233   0.00025104
2.14454214   0.00025122
2.14500215   0.00025141
2.14546235   0.00025159
2.14592275   0.00025177
2.14638334   0.00025196
2.14684414   0.00025214
2.14730513   0.00025233
2.14776632   0.00025251
2.14822771   0.00025270
2.14868930   0.00025289
2.14915109   0.00025307
2.14961307   0.00025326
2.15007525   0.00025344
2.15053763   0.00025363
2.15100022   0.00025382
2.15146299   0.00025400
2.15192597   0.00025419
2.15238915   0.00025438
2.15285253   0.00025456
2.15331611   0.00025475
2.15377988   0.00025494
2.15424386   0.00025513
2.15470804   0.00025532
2.15517241   0.00025550
2.15563699   0.00025569
2.15610177   0.00025588
2.15656675   0.00025607
2.15703192   0.00025626
2.15749730   0.00025645
2.15796288   0.00025664
2.15842866   0.00025683
2.15889465   0.00025702
2.15936083   0.00025721
2.15982721   0.00025740
2.16029380   0.00025759
2.16076059   0.00025778
2.16122758   0.00025797
2.16169477   0.00025816
2.16216216   0.00025835
2.16262976   0.00025854
2.16309756   0.00025873
2.16356556   0.00025893
2.16403376   0.00025912
2.16450216   0.00025931
2.16497077   0.00025950
2.16543958   0.00025970
2.16590860   0.00025989
2.16637782   0.00026008
2.16684724   0.00026027
2.16731686   0.00026047
2.16778669   0.00026066
2.16825672   0.00026085
2.16872696   0.00026105
2.16919740   0.00026124
2.16966804   0.00026144
2.17013889   0.00026163
2.17060994   0.00026183
2.17108120   0.00026202
2.17155266   0.00026222
2.17202433   0.00026241
2.17249620   0.00026261
2.17296827   0.00026280
2.17344056   0.00026300
2.17391304   0.00026319
2.17438574   0.00026339
2.17485863   0.00026359
2.17533174   0.00026378
2.17580505   0.00026398
2.17627856   0.00026418
2.17675229   0.00026438
2.17722621   0.00026457
2.17770035   0.00026477
2.17817469   0.00026497
2.17864924   0.00026517
2.17912399   0.00026537
2.17959895   0.00026556
2.18007412   0.00026576
2.18054950   0.00026596
2.18102508   0.00026616
2.18150087   0.00026636
2.18197687   0.00026656
2.18245308   0.00026676
2.18292949   0.00026696
2.18340611   0.00026716
2.18388294   0.00026736
2.18435998   0.00026756
2.18483723   0.00026776
2.18531469   0.00026796
2.18579235   0.00026816
2.18627022   0.00026837
2.18674831   0.00026857
2.18722660   0.00026877
2.18770510   0.00026897
2.18818381   0.00026917
2.18866273   0.00026938
2.18914186   0.00026958
2.18962120   0.00026978
2.19010074   0.00026998
2.19058050   0.00027019
2.19106047   0.00027039
2.19154065   0.00027059
2.19202104   0.00027080
2.19250164   0.00027100
2.19298246   0.00027121
2.19346348   0.00027141
2.19394471   0.00027162
2.19442616   0.00027182
2.19490781   0.00027203
2.19538968   0.00027223
2.19587176   0.00027244
2.19635405   0.00027264
2.19683656   0.00027285
2.19731927   0.00027306
2.19780220   0.00027326
2.19828534   0.00027347
2.19876869   0.00027368
2.19925225   0.00027388
2.19973603   0.00027409
2.20022002   0.00027430
2.20070423   0.00027451
2.20118864   0.00027471
2.20167327   0.00027492
2.20215811   0.00027513
2.20264317   0.00027534
2.20312844   0.00027555
2.20361393   0.00027576
2.20409963   0.00027597
2.20458554   0.00027618
2.20507166   0.00027639
2.20555801   0.00027660
2.20604456   0.00027681
2.20653133   0.00027702
2.20701832   0.00027723
2.20750552   0.00027744
2.20799293   0.00027765
2.20848057   0.00027786
2.20896841   0.00027807
2.20945647   0.00027828
2.20994475   0.00027850
2.21043324   0.00027871
2.21092195   0.00027892
2.21141088   0.00027913
2.21190002   0.00027935
2.21238938   0.00027956
2.21287896   0.00027977
2.21336875   0.00027999
2.21385876   0.00028020
2.21434898   0.00028041
2.21483942   0.00028063
2.21533008   0.00028084
2.21582096   0.00028106
2.21631206   0.00028127
2.21680337   0.00028149
2.21729490   0.00028170
2.21778665   0.00028192
2.21827862   0.00028213
2.21877080   0.00028235
2.21926320   0.00028256
2.21975583   0.00028278
2.22024867   0.00028300
2.22074173   0.00028321
2.22123501   0.00115312
2.22172850   0.01245898
2.22209365   0.01923520
2.22222222   0.01672445
2.22271616   0.00640607
2.22321032   0.00028430
2.22370469   0.00028452
2.22419929   0.00028474
2.22469410   0.00028496
2.22518914   0.00028518
2.22568440   0.00028540
2.22617988   0.00028562
2.22667557   0.00028584
2.22717149   0.00028606
2.22766763   0.00028628
2.22816399   0.00028650
2.22866057   0.00028672
2.22915738   0.00028694
2.22965440   0.00028716
2.23015165   0.00028738
2.23064912   0.00028760
2.23114681   0.00028782
2.23164472   0.00028804
2.23214286   0.00028827
2.23264121   0.00028849
2.23313979   0.00028871
2.23363860   0.00028894
2.23413762   0.00028916
2.23463687   0.00028938
2.23513634   0.00028961
2.23563604   0.00028983
2.23613596   0.00029005
2.23663610   0.00029028
2.23713647   0.00029050
2.23763706   0.00029073
2.23813787   0.00029095
2.23863891   0.00029118
2.23914017   0.00029140
2.23964166   0.00029163
2.24014337   0.00029186
2.24064531   0.00029208
2.24114747   0.00029231
2.24164985   0.00029253
2.24215247   0.00029276
2.24265530   0.00029299
2.24315837   0.00029322
2.24366166   0.00029344
2.24416517   0.00029367
2.24466891   0.00029390
2.24517288   0.00029413
2.24567707   0.00029436
2.24618149   0.00029459
2.24668614   0.00029482
2.24719101   0.00029505
2.24769611   0.00029528
2.24820144   0.00029550
2.24870699   0.00029574
2.24921278   0.00029597
2.24971879   0.00029620
2.25022502   0.00029643
2.25073149   0.00029666
2.25123818   0.00029689
2.25174510   0.00029712
2.25225225   0.00029735
2.25275963   0.00029759
2.25326724   0.00029782
2.25377507   0.00029805
2.25428314   0.00029828
2.25479143   0.00029852
2.25529995   0.00029875
2.25580871   0.00029898
2.25631769   0.00029922
2.25682690   0.00029945
2.25733634   0.00029969
2.25784601   0.00029992
2.25835592   0.00030016
2.25886605   0.00030039
2.25937641   0.00030063
2.25988701   0.00030086
2.26039783   0.00030110
2.26090889   0.00030133
2.26142017   0.00030157
2.26193169   0.00030181
2.26244344   0.00030204
2.26295542   0.00030228
2.26346763   0.00030252
2.26398008   0.00030276
2.26449275   0.00030300
2.26500566   0.00030323
2.26551880   0.00030347
2.26603218   0.00030371
