lambda            k
2.23964166   0.00518505
2.24014337   0.00519303
2.24064531   0.00520103
2.24114747   0.00520906
2.24164985   0.00521709
2.24215247   0.00522515
2.24265530   0.00523323
2.24315837   0.00524132
2.24366166   0.00524943
2.24416517   0.00525756
2.24466891   0.00526571
2.24517288   0.00527388
2.24567707   0.00528207
2.24618149   0.00529027
2.24668614   0.00529850
2.24719101   0.00530674
2.24769611   0.00531500
2.24820144   0.00532328
2.24870699   0.00533158
2.24921278   0.00533990
2.24971879   0.00534823
2.25022502   0.00535659
2.25073149   0.00536496
2.25123818   0.00537336
2.25174510   0.00538177
2.25225225   0.00539020
2.25275963   0.00539866
2.25326724   0.00540713
2.25377507   0.00541562
2.25428314   0.00542413
2.25479143   0.00543266
2.25529995   0.00544121
2.25580871   0.00544978
2.25631769   0.00545837
2.25682690   0.00546698
2.25733634   0.00547561
2.25784601   0.00548426
2.25835592   0.00549293
2.25886605   0.00550162
2.25937641   0.00551033
2.25988701   0.00551906
2.26039783   0.00552781
2.26090889   0.00553658
2.26142017   0.00554537
2.26193169   0.00555418
2.26244344   0.00556301
2.26295542   0.00557187
2.26346763   0.00558074
2.26398008   0.00558963
2.26449275   0.00559855
2.26500566   0.00560748
2.26551880   0.00561644
2.26603218   0.00562542
2.26654578   0.00563442
2.26705962   0.00564344
2.26757370   0.00565248
2.26808800   0.00566154
2.26860254   0.00567063
2.26911731   0.00567973
2.26963232   0.00568886
2.27014756   0.00569800
2.27066303   0.00570717
2.27117874   0.00571637
2.27169468   0.00572558
2.27221086   0.00573481
2.27272727   0.00574407
2.27324392   0.00575335
2.27376080   0.00576265
2.27427792   0.00577197
2.27479527   0.00578132
2.27531286   0.00579068
2.27583068   0.00580007
2.27634874   0.00580949
2.27686703   0.00581892
2.27738556   0.00582838
2.27790433   0.00583786
2.27842333   0.00584736
2.27894257   0.00585688
2.27946205   0.00586643
2.27998176   0.00587600
2.28050171   0.00588559
2.28102190   0.00589521
2.28154232   0.00590485
2.28206298   0.00591451
2.28258388   0.00592419
2.28310502   0.00593390
2.28362640   0.00594364
2.28414801   0.00595339
2.28466987   0.00596317
2.28519196   0.00597297
2.28571429   0.00598280
2.28623685   0.00599265
2.28675966   0.00600252
2.28728271   0.00601242
2.28780599   0.00602234
2.28832952   0.00603229
